05:19:47 INFO  fir_decimate.c:119: Config succesfully loaded from daq_chain_config.ini
05:19:47 INFO  fir_decimate.c:120: Channel number: 9
05:20:35 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[140]
05:20:35 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[141]
05:20:35 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[141]
05:20:35 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[142]
05:20:35 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[142]
05:20:36 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[143]
05:20:36 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[143]
05:20:36 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[144]
05:20:36 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[144]
05:20:36 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[145]
05:20:36 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[145]
05:20:36 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[146]
05:20:36 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[146]
05:20:37 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[147]
05:20:37 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[147]
05:20:37 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[148]
05:20:37 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[148]
05:20:37 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[149]
05:20:37 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[149]
05:20:37 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[150]
05:20:37 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[150]
05:20:38 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[151]
05:20:38 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[151]
05:20:38 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[152]
05:20:38 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[152]
05:20:38 TRACE fir_decimate.c:240: --> Frame received: type: 3, daq ind:[153]
05:20:38 TRACE fir_decimate.c:330: <--Transfering frame type: 3, daq ind:[153]
05:20:39 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[154]
05:20:39 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[154]
05:20:39 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[155]
05:20:39 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[155]
05:20:39 TRACE fir_decimate.c:240: --> Frame received: type: 1, daq ind:[156]
05:20:39 TRACE fir_decimate.c:330: <--Transfering frame type: 1, daq ind:[156]
